Combined,AJDEM,ADJOE,ADJDE,,D1,AJDEM,ADJOE,ADJDE,,D2,AJDEM,ADJOE,ADJDE,,D3,AJDEM,ADJOE,ADJDE
Amherst,-0.1275,0.9725,1.1,,,,,,,,,,,,,,,
Bridgeport,-0.128,0.9563,1.0843,,,,,,,,,,,,,,,
Boston U.,-0.1282,1.0459,1.1741,,,,,,,,,,,,,,,
Wingate,-0.1301,1.0099,1.14,,,,,,,,,,,,,,,
Penn St.-Behrend,-0.1301,1.1075,1.2376,,,,,,,,,,,,,,,
West Ala.,-0.1302,1.0356,1.1658,,,,,,,,,,,,,,,
Hilbert,-0.1306,1.0269,1.1575,,,,,,,,,,,,,,,
D'Youville,-0.1313,1.0951,1.2264,,,,,,,,,,,,,,,
North Central (MN),-0.1321,1.0252,1.1573,,,,,,,,,,,,,,,
Portland St.,-0.1323,1.081,1.2133,,,,,,,,,,,,,,,
Maine Maritime,-0.1325,0.9799,1.1124,,,,,,,,,,,,,,,
Marian (WI),-0.1328,1.1029,1.2357,,,,,,,,,,,,,,,
Arkansas Tech,-0.1334,0.9835,1.1169,,,,,,,,,,,,,,,
N.C. Central,-0.1342,1.0307,1.1649,,,,,,,,,,,,,,,
East Texas A&M,-0.1355,0.9572,1.0927,,,,,,,,,,,,,,,
Luther,-0.1358,0.9822,1.118,,,,,,,,,,,,,,,
U New England,-0.1359,0.9906,1.1265,,,,,,,,,,,,,,,
Azusa Pacific,-0.1361,1.0859,1.222,,,,,,,,,,,,,,,
Wis.-Eau Claire,-0.1363,0.9783,1.1146,,,,,,,,,,,,,,,
SUNY Brockport,-0.1374,0.8344,0.9718,,,,,,,,,,,,,,,
Emmanuel (GA),-0.1384,0.9911,1.1295,,,,,,,,,,,,,,,
Buffalo St.,-0.1385,1.0603,1.1988,,,,,,,,,,,,,,,
Elizabeth City St.,-0.1387,0.9968,1.1355,,,,,,,,,,,,,,,
UW-River Falls,-0.1391,1.06,1.1991,,,,,,,,,,,,,,,
Eastern Conn. St.,-0.14,0.9735,1.1135,,,,,,,,,,,,,,,
Bridgewater (VA),-0.1404,0.9421,1.0825,,,,,,,,,,,,,,,
Alfred,-0.1424,0.7212,0.8636,,,,,,,,,,,,,,,
Pittsburg St.,-0.143,0.9915,1.1345,,,,,,,,,,,,,,,
UIW,-0.1431,1.1708,1.3139,,,,,,,,,,,,,,,
Augusta,-0.1431,1.0125,1.1556,,,,,,,,,,,,,,,
Concordia Wisconsin,-0.1439,0.9293,1.0732,,,,,,,,,,,,,,,
Chico St.,-0.1459,0.9144,1.0603,,,,,,,,,,,,,,,
Wis.-Stout,-0.1463,0.9301,1.0764,,,,,,,,,,,,,,,
Regis (CO),-0.1468,1.2619,1.4087,,,,,,,,,,,,,,,
Delaware Valley,-0.1469,0.9097,1.0566,,,,,,,,,,,,,,,
Wentworth,-0.1474,0.9242,1.0716,,,,,,,,,,,,,,,
Texas Southern,-0.1476,0.9745,1.1221,,,,,,,,,,,,,,,
RIT,-0.1485,0.9407,1.0892,,,,,,,,,,,,,,,
CCNY,-0.1491,0.9526,1.1017,,,,,,,,,,,,,,,
Elizabethtown,-0.1493,1.1168,1.2661,,,,,,,,,,,,,,,
Bethel (MN),-0.1498,0.9899,1.1397,,,,,,,,,,,,,,,
Cortland,-0.1504,0.9418,1.0922,,,,,,,,,,,,,,,
Fayetteville St.,-0.1514,1.041,1.1924,,,,,,,,,,,,,,,
Fordham,-0.1519,1.0072,1.1591,,,,,,,,,,,,,,,
UC-Colo. Springs,-0.1521,0.9426,1.0947,,,,,,,,,,,,,,,
Marist,-0.1522,1.205,1.3572,,,,,,,,,,,,,,,
Macalester,-0.1522,0.8918,1.044,,,,,,,,,,,,,,,
Colorado Col.,-0.1539,0.9653,1.1192,,,,,,,,,,,,,,,
Hawaii Pacific,-0.1542,0.9662,1.1204,,,,,,,,,,,,,,,
Wheaton (IL),-0.1544,0.9433,1.0977,,,,,,,,,,,,,,,
Gordon,-0.1545,0.9446,1.0991,,,,,,,,,,,,,,,
Denver,-0.1551,0.9228,1.0779,,,,,,,,,,,,,,,
Southern Ark.,-0.1559,0.8995,1.0554,,,,,,,,,,,,,,,
Eastern,-0.1568,1.0895,1.2463,,,,,,,,,,,,,,,
Chestnut Hill,-0.1577,0.9364,1.0941,,,,,,,,,,,,,,,
Eastern Ill.,-0.1581,0.9519,1.11,,,,,,,,,,,,,,,
Kansas City,-0.1592,0.9338,1.093,,,,,,,,,,,,,,,
Flagler,-0.1604,0.743,0.9034,,,,,,,,,,,,,,,
Mercyhurst,-0.1606,0.9454,1.106,,,,,,,,,,,,,,,
Bloomfield,-0.1608,0.936,1.0968,,,,,,,,,,,,,,,
Alas. Fairbanks,-0.161,1.0249,1.1859,,,,,,,,,,,,,,,
Penn College,-0.1611,0.7413,0.9024,,,,,,,,,,,,,,,
Bard,-0.1612,0.7878,0.949,,,,,,,,,,,,,,,
Saint Martin's,-0.1621,0.9049,1.067,,,,,,,,,,,,,,,
Aurora,-0.1629,1.1223,1.2852,,,,,,,,,,,,,,,
ULM,-0.163,0.9748,1.1378,,,,,,,,,,,,,,,
Bates,-0.1643,1.0217,1.186,,,,,,,,,,,,,,,
Winston-Salem,-0.1647,0.9814,1.1461,,,,,,,,,,,,,,,
Westminster (UT),-0.1649,1.0944,1.2593,,,,,,,,,,,,,,,
Limestone,-0.1653,1.0587,1.224,,,,,,,,,,,,,,,
USC Aiken,-0.1665,0.871,1.0375,,,,,,,,,,,,,,,
Quincy,-0.1678,0.9049,1.0727,,,,,,,,,,,,,,,
Ga. Southwestern,-0.1679,1.0177,1.1856,,,,,,,,,,,,,,,
Husson,-0.1685,0.8394,1.0079,,,,,,,,,,,,,,,
Shenandoah,-0.1715,0.8906,1.0621,,,,,,,,,,,,,,,
Salem (WV),-0.1733,0.9509,1.1242,,,,,,,,,,,,,,,
Ark.-Monticello,-0.1735,0.8555,1.029,,,,,,,,,,,,,,,
Cairn,-0.1736,1.0338,1.2074,,,,,,,,,,,,,,,
Schreiner,-0.1753,0.8607,1.036,,,,,,,,,,,,,,,
Northeastern St.,-0.1755,1.167,1.3425,,,,,,,,,,,,,,,
Rollins,-0.1756,1.1172,1.2928,,,,,,,,,,,,,,,
Bemidji St.,-0.1765,1.0994,1.2759,,,,,,,,,,,,,,,
Fontbonne,-0.1777,1.0066,1.1843,,,,,,,,,,,,,,,
Old Dominion,-0.1778,0.9024,1.0802,,,,,,,,,,,,,,,
Alvernia,-0.178,0.8901,1.0681,,,,,,,,,,,,,,,
Sioux Falls,-0.1782,1.0044,1.1826,,,,,,,,,,,,,,,
Lincoln (MO),-0.1784,0.957,1.1354,,,,,,,,,,,,,,,
Puget Sound,-0.1789,1.1306,1.3095,,,,,,,,,,,,,,,
Northwest Mo. St.,-0.1796,0.8627,1.0423,,,,,,,,,,,,,,,
Buena Vista,-0.1796,0.9578,1.1374,,,,,,,,,,,,,,,
Principia,-0.1797,0.9483,1.128,,,,,,,,,,,,,,,
Goucher,-0.1798,1.0285,1.2083,,,,,,,,,,,,,,,
Robert Morris,-0.1803,0.9168,1.0971,,,,,,,,,,,,,,,
West Florida,-0.1808,0.8805,1.0613,,,,,,,,,,,,,,,
Asbury,-0.181,1.0117,1.1927,,,,,,,,,,,,,,,
Mercer,-0.1811,0.933,1.1141,,,,,,,,,,,,,,,
VTSU Castleton,-0.184,0.8998,1.0838,,,,,,,,,,,,,,,
Bloomsburg,-0.1848,0.9443,1.1291,,,,,,,,,,,,,,,
Emporia St.,-0.185,0.9664,1.1514,,,,,,,,,,,,,,,
UNC Asheville,-0.1851,1.0054,1.1905,,,,,,,,,,,,,,,
Dominican (IL),-0.1885,0.8801,1.0686,,,,,,,,,,,,,,,
Lake Forest,-0.1899,0.9989,1.1888,,,,,,,,,,,,,,,
Northwest Nazarene,-0.1911,0.8793,1.0704,,,,,,,,,,,,,,,
UNC Pembroke,-0.1912,0.9901,1.1813,,,,,,,,,,,,,,,
Lees-McRae,-0.1914,0.9316,1.123,,,,,,,,,,,,,,,
Muskingum,-0.1914,1.0568,1.2482,,,,,,,,,,,,,,,
LIU,-0.1922,0.9228,1.115,,,,,,,,,,,,,,,
Neb.-Kearney,-0.1924,0.8864,1.0788,,,,,,,,,,,,,,,
Salem St.,-0.1925,0.9935,1.186,,,,,,,,,,,,,,,
Wis.-Parkside,-0.1929,0.9495,1.1424,,,,,,,,,,,,,,,
Cal St. Dom. Hills,-0.1939,1.0309,1.2248,,,,,,,,,,,,,,,
Northern Ariz.,-0.1941,1.0424,1.2365,,,,,,,,,,,,,,,
Charleston So.,-0.195,0.9505,1.1455,,,,,,,,,,,,,,,
Randolph,-0.195,0.9265,1.1215,,,,,,,,,,,,,,,
Penn,-0.1963,0.9634,1.1597,,,,,,,,,,,,,,,
Muhlenberg,-0.1983,0.8881,1.0864,,,,,,,,,,,,,,,
SUNY Cobleskill,-0.1985,0.8645,1.063,,,,,,,,,,,,,,,
Redlands,-0.1998,0.8817,1.0815,,,,,,,,,,,,,,,
Adams St.,-0.2,1.1151,1.3151,,,,,,,,,,,,,,,
Newberry,-0.201,0.9127,1.1137,,,,,,,,,,,,,,,
West Va. Wesleyan,-0.2011,0.9021,1.1032,,,,,,,,,,,,,,,
MSU Denver,-0.2013,0.962,1.1633,,,,,,,,,,,,,,,
Chapman,-0.2018,0.9138,1.1156,,,,,,,,,,,,,,,
Me.-Farmington,-0.2027,0.8047,1.0074,,,,,,,,,,,,,,,
Guilford,-0.2038,1.136,1.3398,,,,,,,,,,,,,,,
American Int'l,-0.204,0.9538,1.1578,,,,,,,,,,,,,,,
Texas-Dallas,-0.2041,0.9025,1.1066,,,,,,,,,,,,,,,
Wm. Paterson,-0.2047,0.888,1.0927,,,,,,,,,,,,,,,
Union (TN),-0.205,1.0126,1.2176,,,,,,,,,,,,,,,
Shippensburg,-0.2064,0.9076,1.114,,,,,,,,,,,,,,,
South Carolina St.,-0.207,0.8439,1.0509,,,,,,,,,,,,,,,
Lawrence,-0.207,0.966,1.173,,,,,,,,,,,,,,,
Concordia-M'head,-0.2071,0.8423,1.0494,,,,,,,,,,,,,,,
NJIT,-0.2084,0.9094,1.1178,,,,,,,,,,,,,,,
Dominican (CA),-0.2084,1.0226,1.231,,,,,,,,,,,,,,,
Russell Sage,-0.2085,0.9905,1.199,,,,,,,,,,,,,,,
Whitman,-0.2092,1.026,1.2352,,,,,,,,,,,,,,,
Barton,-0.2096,0.9297,1.1393,,,,,,,,,,,,,,,
Cal St. San Marcos,-0.2118,0.8772,1.089,,,,,,,,,,,,,,,
West Ga.,-0.2134,0.9714,1.1848,,,,,,,,,,,,,,,
Knox,-0.2137,0.8969,1.1106,,,,,,,,,,,,,,,
Dist. Columbia,-0.214,0.8416,1.0556,,,,,,,,,,,,,,,
Fort Lewis,-0.2162,0.9197,1.1359,,,,,,,,,,,,,,,
Point Loma,-0.2163,1.1353,1.3516,,,,,,,,,,,,,,,
Cameron,-0.2172,0.9093,1.1265,,,,,,,,,,,,,,,
Northwestern Okla.,-0.2176,0.8777,1.0953,,,,,,,,,,,,,,,
Quinnipiac,-0.2178,0.9275,1.1453,,,,,,,,,,,,,,,
Rider,-0.2187,0.955,1.1737,,,,,,,,,,,,,,,
Pitt.-Johnstown,-0.2192,1.0276,1.2468,,,,,,,,,,,,,,,
King (TN),-0.2197,0.9657,1.1854,,,,,,,,,,,,,,,
Mansfield,-0.2212,0.9317,1.1529,,,,,,,,,,,,,,,
Bethune-Cookman,-0.2222,0.9531,1.1753,,,,,,,,,,,,,,,
Claremont-M-S,-0.2236,0.7274,0.951,,,,,,,,,,,,,,,
Fredonia,-0.2243,0.886,1.1103,,,,,,,,,,,,,,,
Cal Poly Humboldt,-0.2244,0.9873,1.2117,,,,,,,,,,,,,,,
Webster,-0.2245,0.8367,1.0612,,,,,,,,,,,,,,,
Delaware St.,-0.2246,0.8746,1.0992,,,,,,,,,,,,,,,
Mitchell,-0.2274,0.9228,1.1502,,,,,,,,,,,,,,,
UAlbany,-0.2278,1.0971,1.3249,,,,,,,,,,,,,,,
Wis.-Superior,-0.2284,0.8218,1.0502,,,,,,,,,,,,,,,
MIT,-0.2299,0.8889,1.1188,,,,,,,,,,,,,,,
Southeast Mo. St.,-0.2303,1.111,1.3413,,,,,,,,,,,,,,,
Le Moyne,-0.2304,0.9913,1.2217,,,,,,,,,,,,,,,
Rockhurst,-0.2304,1.0211,1.2515,,,,,,,,,,,,,,,
Union (NY),-0.2308,1.0336,1.2644,,,,,,,,,,,,,,,
Maryville (TN),-0.2309,1.0535,1.2844,,,,,,,,,,,,,,,
Dean,-0.2315,0.781,1.0125,,,,,,,,,,,,,,,
Lycoming,-0.2319,0.9876,1.2195,,,,,,,,,,,,,,,
Lamar University,-0.2321,1.0296,1.2617,,,,,,,,,,,,,,,
Roosevelt,-0.2328,0.8002,1.033,,,,,,,,,,,,,,,
Austin,-0.235,0.7809,1.0159,,,,,,,,,,,,,,,
Prairie View,-0.2367,1.0949,1.3316,,,,,,,,,,,,,,,
Howard,-0.2388,0.95,1.1888,,,,,,,,,,,,,,,
South Dakota Mines,-0.2405,0.8748,1.1153,,,,,,,,,,,,,,,
Roberts Wesleyan,-0.2409,1.087,1.3279,,,,,,,,,,,,,,,
Saint Michael's,-0.2409,0.9247,1.1656,,,,,,,,,,,,,,,
Edgewood,-0.2414,1.1449,1.3863,,,,,,,,,,,,,,,
Alabama A&M,-0.2421,0.8857,1.1278,,,,,,,,,,,,,,,
Kean,-0.2427,0.9638,1.2065,,,,,,,,,,,,,,,
Valparaiso,-0.2428,1.0719,1.3147,,,,,,,,,,,,,,,
Manhattanville,-0.2435,1.1015,1.345,,,,,,,,,,,,,,,
Williams,-0.2439,0.8639,1.1078,,,,,,,,,,,,,,,
Keene St.,-0.2447,0.8335,1.0782,,,,,,,,,,,,,,,
Central Wash.,-0.2458,0.7904,1.0362,,,,,,,,,,,,,,,
Ohio Wesleyan,-0.2477,1.024,1.2717,,,,,,,,,,,,,,,
Clarkson,-0.2483,0.8454,1.0937,,,,,,,,,,,,,,,
Coast Guard,-0.2484,0.9482,1.1966,,,,,,,,,,,,,,,
Alas. Anchorage,-0.2492,0.8685,1.1177,,,,,,,,,,,,,,,
Salisbury,-0.2498,0.8592,1.109,,,,,,,,,,,,,,,
Davis & Elkins,-0.2501,0.939,1.1891,,,,,,,,,,,,,,,
Northwestern-St. Paul,-0.2507,1.011,1.2617,,,,,,,,,,,,,,,
IU Indy,-0.2524,1.1823,1.4347,,,,,,,,,,,,,,,
Wis.-Whitewater,-0.2553,0.947,1.2023,,,,,,,,,,,,,,,
Saint Vincent,-0.2559,0.9832,1.2391,,,,,,,,,,,,,,,
Fairfield,-0.2565,0.8847,1.1412,,,,,,,,,,,,,,,
Albany St. (GA),-0.259,0.9258,1.1848,,,,,,,,,,,,,,,
Florida A&M,-0.2599,0.9556,1.2155,,,,,,,,,,,,,,,
Manhattan,-0.2618,1.004,1.2658,,,,,,,,,,,,,,,
Missouri S&T,-0.2646,0.881,1.1456,,,,,,,,,,,,,,,
Okla. Christian,-0.2647,0.9511,1.2158,,,,,,,,,,,,,,,
Colby,-0.2665,0.9015,1.168,,,,,,,,,,,,,,,
Martin Luther,-0.2668,0.8616,1.1284,,,,,,,,,,,,,,,
McMurry,-0.2673,0.8867,1.154,,,,,,,,,,,,,,,
Sewanee,-0.2675,0.932,1.1995,,,,,,,,,,,,,,,
Fitchburg St.,-0.2688,0.9397,1.2085,,,,,,,,,,,,,,,
Yeshiva,-0.2702,0.9801,1.2503,,,,,,,,,,,,,,,
Vassar,-0.2703,0.9032,1.1735,,,,,,,,,,,,,,,
Chicago St.,-0.2706,0.8644,1.135,,,,,,,,,,,,,,,
SUNY Delhi,-0.2728,0.9306,1.2034,,,,,,,,,,,,,,,
Dallas,-0.2732,0.9656,1.2388,,,,,,,,,,,,,,,
New England Col.,-0.2736,0.8786,1.1522,,,,,,,,,,,,,,,
Salve Regina,-0.2743,0.8686,1.1429,,,,,,,,,,,,,,,
Skidmore,-0.2744,0.9035,1.1779,,,,,,,,,,,,,,,
SUNY Morrisville,-0.2762,0.7896,1.0658,,,,,,,,,,,,,,,
Molloy,-0.2777,1.0277,1.3054,,,,,,,,,,,,,,,
Carroll (WI),-0.2777,0.9456,1.2233,,,,,,,,,,,,,,,
Queens (NY),-0.2787,0.856,1.1347,,,,,,,,,,,,,,,
Waynesburg,-0.281,0.8521,1.1331,,,,,,,,,,,,,,,
Pacific Lutheran,-0.2817,0.9226,1.2043,,,,,,,,,,,,,,,
Thiel,-0.2824,0.8714,1.1538,,,,,,,,,,,,,,,
Bowie St.,-0.2837,0.8929,1.1766,,,,,,,,,,,,,,,
AUM,-0.2845,0.9605,1.245,,,,,,,,,,,,,,,
Rutgers-Newark,-0.2874,0.8741,1.1615,,,,,,,,,,,,,,,
Keuka,-0.2876,1.061,1.3486,,,,,,,,,,,,,,,
Alcorn,-0.288,0.9315,1.2195,,,,,,,,,,,,,,,
Shaw,-0.29,0.9603,1.2503,,,,,,,,,,,,,,,
Cornell College,-0.29,0.9116,1.2016,,,,,,,,,,,,,,,
Adrian,-0.2928,0.9104,1.2032,,,,,,,,,,,,,,,
Hood,-0.2931,0.9075,1.2006,,,,,,,,,,,,,,,
Tex. A&M Int'l,-0.2955,0.9422,1.2377,,,,,,,,,,,,,,,
Shepherd,-0.2983,0.9091,1.2074,,,,,,,,,,,,,,,
Norwich,-0.2984,0.8537,1.1521,,,,,,,,,,,,,,,
Southern Va.,-0.299,0.9378,1.2368,,,,,,,,,,,,,,,
Gwynedd Mercy,-0.3,0.8162,1.1162,,,,,,,,,,,,,,,
Beloit,-0.3021,0.8235,1.1256,,,,,,,,,,,,,,,
WestConn,-0.3029,0.8153,1.1182,,,,,,,,,,,,,,,
Binghamton,-0.303,0.9701,1.2731,,,,,,,,,,,,,,,
Hawaii Hilo,-0.3039,0.9359,1.2398,,,,,,,,,,,,,,,
Jamestown,-0.3051,0.9822,1.2873,,,,,,,,,,,,,,,
Converse,-0.3054,1.0097,1.3151,,,,,,,,,,,,,,,
Spring Hill,-0.3068,1.053,1.3598,,,,,,,,,,,,,,,
Academy of Art,-0.3074,0.9902,1.2976,,,,,,,,,,,,,,,
Framingham St.,-0.3076,0.7637,1.0713,,,,,,,,,,,,,,,
Cleveland St.,-0.3079,0.85,1.1579,,,,,,,,,,,,,,,
Mary,-0.308,0.9458,1.2538,,,,,,,,,,,,,,,
Alma,-0.3082,0.9597,1.2679,,,,,,,,,,,,,,,
Lewis & Clark,-0.3093,0.8516,1.1609,,,,,,,,,,,,,,,
Westmont,-0.3112,1.0809,1.3921,,,,,,,,,,,,,,,
Frostburg St.,-0.3116,0.8653,1.1769,,,,,,,,,,,,,,,
Canisius,-0.3117,1.0449,1.3566,,,,,,,,,,,,,,,
Concordia Chicago,-0.3118,0.9006,1.2124,,,,,,,,,,,,,,,
Pacific (OR),-0.3139,0.8407,1.1546,,,,,,,,,,,,,,,
NIU,-0.314,0.8474,1.1614,,,,,,,,,,,,,,,
Emerson,-0.3148,0.843,1.1578,,,,,,,,,,,,,,,
Menlo,-0.315,0.9466,1.2616,,,,,,,,,,,,,,,
Coppin St.,-0.3153,0.7578,1.0731,,,,,,,,,,,,,,,
Juniata,-0.3154,0.7956,1.111,,,,,,,,,,,,,,,
IIT,-0.3157,0.9867,1.3024,,,,,,,,,,,,,,,
Sonoma St.,-0.3158,0.9247,1.2405,,,,,,,,,,,,,,,
Seattle Pacific,-0.3165,1.0431,1.3596,,,,,,,,,,,,,,,
Tex. A&M-Kingsville,-0.3169,0.9456,1.2625,,,,,,,,,,,,,,,
Northern St.,-0.3175,0.8493,1.1668,,,,,,,,,,,,,,,
Eastern N.M.,-0.318,0.9965,1.3145,,,,,,,,,,,,,,,
St. John Fisher,-0.3196,0.8266,1.1462,,,,,,,,,,,,,,,
Southwestern Okla.,-0.3202,0.9588,1.279,,,,,,,,,,,,,,,
St. Scholastica,-0.3222,1.0586,1.3808,,,,,,,,,,,,,,,
Colby-Sawyer,-0.3228,0.8236,1.1464,,,,,,,,,,,,,,,
Ozarks (AR),-0.3235,0.7206,1.0441,,,,,,,,,,,,,,,
N.C. Wesleyan,-0.3241,0.8595,1.1836,,,,,,,,,,,,,,,
Arcadia,-0.3241,0.8558,1.1799,,,,,,,,,,,,,,,
Allegheny,-0.3244,1.006,1.3304,,,,,,,,,,,,,,,
New Hampshire,-0.3246,0.882,1.2066,,,,,,,,,,,,,,,
SUNY New Paltz,-0.3249,1.0127,1.3376,,,,,,,,,,,,,,,
San Fran. St.,-0.325,0.8362,1.1612,,,,,,,,,,,,,,,
Chatham,-0.3254,0.9219,1.2473,,,,,,,,,,,,,,,
Thomas (ME),-0.3254,0.7951,1.1205,,,,,,,,,,,,,,,
Thomas More,-0.3255,0.8671,1.1926,,,,,,,,,,,,,,,
Edward Waters,-0.3256,0.9409,1.2665,,,,,,,,,,,,,,,
Colorado Mesa,-0.3278,1.0281,1.3559,,,,,,,,,,,,,,,
Eastern Mich.,-0.3306,0.8826,1.2132,,,,,,,,,,,,,,,
Capital,-0.331,0.831,1.162,,,,,,,,,,,,,,,
Anna Maria,-0.3313,0.8712,1.2025,,,,,,,,,,,,,,,
Lesley,-0.332,0.897,1.229,,,,,,,,,,,,,,,
Endicott,-0.3333,0.8762,1.2095,,,,,,,,,,,,,,,
Bethany Lutheran,-0.3335,0.8114,1.1449,,,,,,,,,,,,,,,
Randolph-Macon,-0.3341,0.8805,1.2146,,,,,,,,,,,,,,,
Mount Olive,-0.3343,1.0954,1.4297,,,,,,,,,,,,,,,
Sarah Lawrence,-0.3345,0.7647,1.0992,,,,,,,,,,,,,,,
Georgia College,-0.336,0.7472,1.0832,,,,,,,,,,,,,,,
East Tex. Baptist,-0.3372,0.7982,1.1354,,,,,,,,,,,,,,,
New Orleans,-0.3377,0.8405,1.1782,,,,,,,,,,,,,,,
Benedict,-0.3384,0.8615,1.1999,,,,,,,,,,,,,,,
Central Ark.,-0.3391,0.9394,1.2785,,,,,,,,,,,,,,,
Lane,-0.3396,0.8098,1.1494,,,,,,,,,,,,,,,
Morehead St.,-0.3425,0.8295,1.172,,,,,,,,,,,,,,,
UMES,-0.3426,0.9231,1.2657,,,,,,,,,,,,,,,
Kutztown,-0.3427,0.9249,1.2676,,,,,,,,,,,,,,,
Southern Wesleyan,-0.3434,0.8756,1.219,,,,,,,,,,,,,,,
Lebanon Valley,-0.3438,1.028,1.3718,,,,,,,,,,,,,,,
Saint Mary's (MN),-0.3456,0.983,1.3286,,,,,,,,,,,,,,,
Ripon,-0.349,0.7188,1.0678,,,,,,,,,,,,,,,
Florida Tech,-0.3494,0.9447,1.2941,,,,,,,,,,,,,,,
Lock Haven,-0.3507,0.824,1.1747,,,,,,,,,,,,,,,
Angelo St.,-0.3515,0.9854,1.3369,,,,,,,,,,,,,,,
Northwood,-0.3515,0.7861,1.1376,,,,,,,,,,,,,,,
Lindenwood,-0.3534,0.9116,1.265,,,,,,,,,,,,,,,
Rivier,-0.3541,0.8951,1.2492,,,,,,,,,,,,,,,
Chadron St.,-0.355,0.8674,1.2224,,,,,,,,,,,,,,,
North Greenville,-0.3551,0.9166,1.2717,,,,,,,,,,,,,,,
Wagner,-0.3566,0.7941,1.1507,,,,,,,,,,,,,,,
Regis (MA),-0.3574,0.8842,1.2416,,,,,,,,,,,,,,,
Rhodes,-0.3586,0.8405,1.1991,,,,,,,,,,,,,,,
Nazareth,-0.3589,0.9137,1.2726,,,,,,,,,,,,,,,
Augsburg,-0.36,0.803,1.163,,,,,,,,,,,,,,,
Tarleton St.,-0.3606,0.8534,1.214,,,,,,,,,,,,,,,
Stony Brook,-0.3609,0.9159,1.2768,,,,,,,,,,,,,,,
Southeastern Okla.,-0.3624,1.0775,1.4399,,,,,,,,,,,,,,,
UMSV,-0.3649,0.8404,1.2053,,,,,,,,,,,,,,,
Wash. & Lee,-0.3657,0.8825,1.2482,,,,,,,,,,,,,,,
Johnson C. Smith,-0.3677,0.8099,1.1776,,,,,,,,,,,,,,,
Houston Christian,-0.3719,0.8117,1.1836,,,,,,,,,,,,,,,
Ferrum,-0.3721,1.125,1.4971,,,,,,,,,,,,,,,
Old Westbury,-0.3733,0.8364,1.2097,,,,,,,,,,,,,,,
Trinity (TX),-0.3747,0.952,1.3267,,,,,,,,,,,,,,,
Bluffton,-0.3753,0.9133,1.2886,,,,,,,,,,,,,,,
Mary Baldwin,-0.3754,0.7647,1.1401,,,,,,,,,,,,,,,
Simon Fraser,-0.3766,0.7479,1.1245,,,,,,,,,,,,,,,
Plattsburgh St.,-0.3785,0.8387,1.2172,,,,,,,,,,,,,,,
Simpson,-0.3796,0.8498,1.2294,,,,,,,,,,,,,,,
Tiffin,-0.3806,0.7735,1.1541,,,,,,,,,,,,,,,
Messiah,-0.3823,0.735,1.1173,,,,,,,,,,,,,,,
FDU,-0.3828,1.0209,1.4037,,,,,,,,,,,,,,,
Cal St. East Bay,-0.384,0.7244,1.1084,,,,,,,,,,,,,,,
Houghton,-0.3842,0.9138,1.298,,,,,,,,,,,,,,,
Wilmington (DE),-0.3845,0.9292,1.3137,,,,,,,,,,,,,,,
Howard Payne,-0.3846,0.9308,1.3154,,,,,,,,,,,,,,,
Emmanuel (MA),-0.3847,0.8589,1.2436,,,,,,,,,,,,,,,
St. Olaf,-0.3865,0.8589,1.2454,,,,,,,,,,,,,,,
UC Merced,-0.3873,0.8171,1.2044,,,,,,,,,,,,,,,
Lehman,-0.39,0.8141,1.2041,,,,,,,,,,,,,,,
Berry,-0.3904,0.9484,1.3388,,,,,,,,,,,,,,,
Notre Dame (MD),-0.3908,0.8106,1.2014,,,,,,,,,,,,,,,
Haverford,-0.3912,0.9747,1.3659,,,,,,,,,,,,,,,
UC Santa Cruz,-0.3914,0.777,1.1684,,,,,,,,,,,,,,,
Alfred St.,-0.3938,0.8241,1.2179,,,,,,,,,,,,,,,
Kenyon,-0.398,0.785,1.183,,,,,,,,,,,,,,,
Jackson St.,-0.3992,0.8395,1.2387,,,,,,,,,,,,,,,
Greensboro,-0.3995,0.8089,1.2084,,,,,,,,,,,,,,,
Mo. Southern St.,-0.403,0.7943,1.1973,,,,,,,,,,,,,,,
Lyon,-0.4066,0.8781,1.2847,,,,,,,,,,,,,,,
Ark.-Pine Bluff,-0.4091,0.9459,1.355,,,,,,,,,,,,,,,
Concordia (TX),-0.4119,0.9665,1.3784,,,,,,,,,,,,,,,
Merchant Marine,-0.4128,0.7714,1.1842,,,,,,,,,,,,,,,
Geneva,-0.413,0.8389,1.2519,,,,,,,,,,,,,,,
Stanislaus St.,-0.4131,0.7156,1.1287,,,,,,,,,,,,,,,
Huntingdon,-0.4135,0.8304,1.2439,,,,,,,,,,,,,,,
Brooklyn,-0.4137,0.7637,1.1774,,,,,,,,,,,,,,,
Greenville,-0.4194,0.946,1.3654,,,,,,,,,,,,,,,
FDU-Florham,-0.4195,0.736,1.1555,,,,,,,,,,,,,,,
UMass Boston,-0.4216,0.9205,1.3421,,,,,,,,,,,,,,,
Piedmont,-0.4235,0.9286,1.3521,,,,,,,,,,,,,,,
Wilmington (OH),-0.4236,0.8103,1.2339,,,,,,,,,,,,,,,
Curry,-0.427,0.6967,1.1237,,,,,,,,,,,,,,,
Hardin-Simmons,-0.4276,0.9036,1.3312,,,,,,,,,,,,,,,
Western N.M.,-0.4305,0.7964,1.2269,,,,,,,,,,,,,,,
Purdue Northwest,-0.4341,0.9186,1.3527,,,,,,,,,,,,,,,
Colo. Christian,-0.436,1.0519,1.4879,,,,,,,,,,,,,,,
Ohio Dominican,-0.4367,1.0928,1.5295,,,,,,,,,,,,,,,
