Combined,AJDEM,ADJOE,ADJDE,,D1,AJDEM,ADJOE,ADJDE,,D2,AJDEM,ADJOE,ADJDE,,D3,AJDEM,ADJOE,ADJDE
Virginia,0.3012,1.2268,0.9256,,Grand Canyon,0.1841,1.2958,1.1117,,Mount Olive,0.1018,1.2107,1.1089,,MSOE,0.159,1.2171,1.0581
Notre Dame,0.2948,1.2696,0.9748,,Arizona St.,0.183,1.0896,0.9066,,North Georgia,0.1014,1.0971,0.9957,,John Jay,0.1581,1.0349,0.8768
Colorado,0.2946,1.2434,0.9488,,Notre Dame,0.1793,1.2056,1.0263,,Concord,0.099,1.0605,0.9615,,Manchester,0.1569,1.1124,0.9555
Queens (NC),0.2943,1.088,0.7937,,Rutgers,0.1786,1.2177,1.0391,,Anderson (SC),0.0974,1.061,0.9636,,Albion,0.1567,1.2022,1.0455
Villanova,0.2914,1.2841,0.9927,,South Dakota St.,0.1755,1.1264,0.9509,,Livingstone,0.0915,0.8904,0.7989,,Redlands,0.1564,1.1318,0.9754
San Diego St.,0.2914,1.2222,0.9308,,Indiana,0.1749,1.1713,0.9964,,CSUSB,0.0912,1.0845,0.9933,,Ozarks (AR),0.1535,1.0605,0.907
UNLV,0.2911,1.2131,0.922,,Minnesota,0.1692,1.0406,0.8714,,Holy Family,0.0905,0.9509,0.8604,,Wash. & Jeff.,0.1488,0.9635,0.8147
South Dakota St.,0.291,1.2201,0.9291,,UC San Diego,0.1661,1.1557,0.9896,,Harding,0.0904,1.2264,1.136,,Kalamazoo,0.1472,1.2312,1.084
Utah Valley,0.2893,1.2009,0.9116,,Kent St.,0.1646,1.0679,0.9033,,Delta St.,0.0784,1.2177,1.1393,,Rhode Island Col.,0.1469,1.157,1.0101
Drew,0.2889,1.2538,0.9649,,Fla. Atlantic,0.1629,1.1997,1.0368,,Christian Brothers,0.0779,1.167,1.0891,,Maine Maritime,0.1458,1.0145,0.8687
Cornell,0.2884,1.3327,1.0443,,Baylor,0.1622,1.1997,1.0375,,Emmanuel (GA),0.0773,1.1064,1.0291,,Union (NY),0.145,1.1888,1.0438
Middle Tenn.,0.2854,1.2016,0.9162,,McNeese,0.1556,1.1124,0.9568,,Arkansas Tech,0.0724,1.058,0.9856,,St. Thomas (TX),0.1423,1.0874,0.9451
William & Mary,0.2849,1.2055,0.9206,,East Carolina,0.1549,1.0719,0.917,,Central Okla.,0.0721,1.0682,0.9961,,Illinois Col.,0.1408,0.944,0.8032
East Carolina,0.2836,1.1495,0.8659,,Stanford,0.1504,1.0926,0.9422,,Henderson St.,0.0678,1.0692,1.0014,,Utica,0.1394,1.0548,0.9154
Oregon St.,0.2777,1.294,1.0163,,Louisiana Tech,0.1436,1.2052,1.0616,,UC Merced,0.0668,1.0222,0.9554,,Claremont-M-S,0.1387,1.0761,0.9374
Purdue Fort Wayne,0.2753,1.2526,0.9773,,Loyola Chicago,0.1431,1.1154,0.9723,,Chaminade,0.066,1.1087,1.0427,,DePauw,0.1355,1.0246,0.8891
Yale,0.2698,1.2938,1.024,,Texas St.,0.1405,1.0683,0.9278,,Texas-Dallas,0.0658,1.0874,1.0216,,Hobart,0.1346,1.0671,0.9325
UNCW,0.2684,1.3221,1.0537,,Xavier,0.1404,1.1018,0.9614,,West Ala.,0.0655,1.1171,1.0516,,Rowan,0.1345,1.2119,1.0774
Oklahoma St.,0.2681,1.2278,0.9597,,Saint Mary's (CA),0.1393,1.1589,1.0196,,East Central,0.063,1.1081,1.0451,,SUNY Morrisville,0.134,0.9804,0.8464
Wyoming,0.265,1.2659,1.0009,,George Washington,0.1368,1.131,0.9942,,Minnesota St.,0.0603,1.0869,1.0266,,Baldwin Wallace,0.1309,1.1475,1.0166
Rutgers,0.2647,1.262,0.9973,,Northern Colo.,0.1347,1.1217,0.987,,Purdue Northwest,0.0599,1.1121,1.0522,,King's (PA),0.1308,1.2415,1.1107
UNC Greensboro,0.2643,1.1641,0.8998,,Virginia,0.134,1.09,0.956,,McKendree,0.0569,1.0782,1.0213,,SUNY Maritime,0.1304,1.1275,0.9971
Wake Forest,0.2612,1.0664,0.8052,,Massachusetts,0.1304,1.1212,0.9908,,Southwest Baptist,0.0561,1.1848,1.1287,,Marymount (VA),0.1302,1.096,0.9658
SMU,0.259,1.1958,0.9368,,UTEP,0.124,1.1676,1.0436,,Bridgeport,0.0552,1.1189,1.0637,,Anderson (IN),0.1275,1.23,1.1025
Washington St.,0.2578,1.1983,0.9405,,Santa Clara,0.1212,1.2327,1.1115,,Tex. Permian Basin,0.0539,1.1689,1.115,,Franklin,0.1265,1.1256,0.9991
Winthrop,0.2574,1.2513,0.9939,,ETSU,0.1137,1.146,1.0323,,UVA Wise,0.0509,1.0352,0.9843,,Mt. St. Joseph,0.1262,1.0158,0.8896
Wooster,0.2568,1.1463,0.8895,,Northwestern St.,0.1067,0.9903,0.8836,,Colo. Christian,0.0496,1.0173,0.9677,,John Carroll,0.125,1.1511,1.0261
George Mason,0.2538,1.1846,0.9308,,UNC Greensboro,0.1054,1.1031,0.9977,,Montevallo,0.0461,1.0916,1.0455,,Mitchell,0.1233,1.192,1.0687
Liberty,0.2519,1.1993,0.9474,,DePaul,0.1036,1.2296,1.126,,Carson-Newman,0.0452,1.2214,1.1762,,CCNY,0.1211,1.1824,1.0613
New Mexico,0.2514,1.2257,0.9743,,Middle Tenn.,0.1028,1.1155,1.0127,,West Tex. A&M,0.0433,1.0603,1.017,,Grinnell,0.1197,1.0946,0.9749
Wis.-Platteville,0.2446,1.2764,1.0318,,UNI,0.1006,1.1533,1.0527,,Cal State LA,0.0422,1.1074,1.0652,,Stockton,0.1197,1.029,0.9093
Vanderbilt,0.2445,1.2726,1.0281,,Nebraska,0.0965,1.0303,0.9338,,Cal Poly Humboldt,0.0415,1.0424,1.0009,,Augustana (IL),0.1142,1.0289,0.9147
UCF,0.244,1.1863,0.9423,,Davidson,0.0955,1.2144,1.1189,,Edward Waters,0.0401,1.0642,1.0241,,Randolph-Macon,0.1141,1.1297,1.0156
Fla. Atlantic,0.244,1.2549,1.0109,,Wisconsin,0.0943,1.2142,1.1199,,Ferris St.,0.0384,1.063,1.0246,,Otterbein,0.1121,1.1285,1.0164
Colorado St.,0.2364,1.2607,1.0243,,Kansas St.,0.0929,1.1499,1.057,,Union (TN),0.0351,1.0165,0.9814,,Trinity (TX),0.1116,1.0338,0.9222
Mount Union,0.234,1.3587,1.1247,,FGCU,0.0926,1.0868,0.9942,,Newman,0.0344,1.1284,1.094,,Swarthmore,0.111,1.1185,1.0075
Providence,0.2325,1.1787,0.9462,,Virginia Tech,0.0922,1.0733,0.9811,,Clarion,0.034,1.1817,1.1477,,Saint Joseph (CT),0.1109,0.9098,0.7989
Nova Southeastern,0.2317,1.2255,0.9938,,Southern California,0.0919,1.1575,1.0656,,California (PA),0.0338,1.3912,1.3574,,Transylvania,0.1101,1.359,1.2489
San Jose St.,0.2304,1.1979,0.9675,,Samford,0.0891,1.2324,1.1433,,Ark.-Fort Smith,0.0332,1.1746,1.1414,,Neumann,0.1079,1.219,1.1111
Texas A&M,0.23,1.1289,0.8989,,Creighton,0.0809,1.09,1.0091,,Chico St.,0.032,1.102,1.07,,Carnegie Mellon,0.1077,0.9197,0.812
St. Bonaventure,0.2288,1.1245,0.8957,,UCF,0.0808,1.1209,1.0401,,Edinboro,0.0305,1.0031,0.9726,,Heidelberg,0.1059,1.1944,1.0885
Montana,0.2255,1.2087,0.9832,,Lipscomb,0.0781,1.124,1.0459,,Dominican (CA),0.0288,1.0578,1.029,,Bard,0.1047,0.9374,0.8327
Fairmont St.,0.2253,1.3961,1.1708,,Boston College,0.0731,1.0609,0.9878,,Catawba,0.0286,1.1571,1.1285,,Saint John's (MN),0.1046,1.0001,0.8955
Connecticut Col.,0.2246,0.9782,0.7536,,Northeastern,0.0722,1.0171,0.9449,,Cal St. Dom. Hills,0.0285,1.1576,1.1291,,Misericordia,0.1004,1.0621,0.9617
McNeese,0.2216,1.1582,0.9366,,Princeton,0.0708,1.1773,1.1065,,Franklin Pierce,0.0257,1.1083,1.0826,,Eastern Conn. St.,0.0999,0.9202,0.8203
Drexel,0.2204,1.1653,0.9449,,Furman,0.0683,1.1053,1.037,,Fla. Southern,0.0249,1.0864,1.0615,,Brevard,0.0995,1.1752,1.0757
Kent St.,0.2188,1.0976,0.8788,,Texas,0.068,1.1555,1.0875,,Virginia Union,0.0244,0.9872,0.9628,,Monmouth (IL),0.0989,1.0558,0.9569
Northern Colo.,0.2187,1.1685,0.9498,,Washington,0.0674,0.9968,0.9294,,Wayne St. (MI),0.0239,1.3031,1.2792,,Colorado Col.,0.0978,1.1203,1.0225
Grand Canyon,0.2151,1.2953,1.0802,,Miami (FL),0.0634,1.2392,1.1758,,Point Loma,0.0207,1.1836,1.1629,,Huntingdon,0.0974,0.9924,0.895
DeSales,0.2086,1.3313,1.1227,,Hawaii,0.0588,1.1941,1.1353,,New Haven,0.0191,1.0592,1.0401,,Salve Regina,0.0962,1.0737,0.9775
SIUE,0.2079,1.0257,0.8178,,Tennessee St.,0.0542,1.0824,1.0282,,Northeastern St.,0.019,1.1611,1.1421,,North Central (MN),0.0909,1.0857,0.9948
Ill. Wesleyan,0.206,1.2018,0.9958,,California,0.0498,1.1303,1.0805,,Saginaw Valley,0.0189,1.1156,1.0967,,Westminster (PA),0.0904,1.0077,0.9173
Winona St.,0.2049,1.1813,0.9764,,Eastern Ky.,0.0498,1.0993,1.0495,,Academy of Art,0.0188,1.056,1.0372,,Plymouth St.,0.0902,0.9168,0.8266
Furman,0.2037,1.1001,0.8964,,UNCW,0.0497,1.1319,1.0822,,Newberry,0.0167,1.1309,1.1142,,Bethany (WV),0.0901,1.198,1.1079
Catholic,0.2037,1.3369,1.1332,,Rice,0.049,1.1053,1.0563,,Ga. Southwestern,0.0148,1.1293,1.1145,,Suffolk,0.0878,1.218,1.1302
Cal Lutheran,0.2004,1.0546,0.8542,,San Jose St.,0.0471,1.0916,1.0445,,Embry-Riddle (FL),0.0124,0.9824,0.97,,Centre,0.0876,1.1944,1.1068
Montclair St.,0.1996,1.3867,1.1871,,Col. of Charleston,0.047,1.0911,1.0441,,Cedarville,0.0117,1.1368,1.1251,,Pacific Lutheran,0.0846,0.9586,0.874
Washburn,0.1987,1.2299,1.0312,,Providence,0.0456,1.0493,1.0037,,Clayton St.,0.0095,1.1144,1.1049,,Central (IA),0.0843,1.2198,1.1355
Arizona St.,0.1986,1.0911,0.8925,,South Dakota,0.0409,1.1265,1.0856,,Angelo St.,0.0088,1.0399,1.0311,,Delaware Valley,0.084,1.0013,0.9173
NYU,0.1969,1.2016,1.0047,,Syracuse,0.0364,1.0441,1.0077,,Post,0.0085,1.1145,1.106,,Oberlin,0.0835,1.0342,0.9507
Alabama Huntsville,0.1968,1.249,1.0522,,Western Ky.,0.0341,0.9838,0.9497,,Limestone,0.0074,1.148,1.1406,,La Roche,0.0833,1.0966,1.0133
Millersville,0.1963,1.2863,1.09,,Kennesaw St.,0.0332,0.9922,0.959,,Stanislaus St.,0.0031,1.0671,1.064,,Hood,0.0809,1.0962,1.0153
Susquehanna,0.1944,1.1747,0.9803,,Winthrop,0.0322,1.0109,0.9787,,Okla. Christian,0.0029,1.0874,1.0845,,Western New Eng.,0.08,1.1211,1.0411
SFA,0.1911,1.1182,0.9271,,Montana,0.0317,1.062,1.0303,,Truman St.,0.0023,1.2246,1.2223,,Neb. Wesleyan,0.0796,1.0718,0.9922
Baylor,0.1911,1.2231,1.032,,South Carolina,0.0312,1.1427,1.1115,,Clark Atlanta,-0.0015,0.9557,0.9572,,Marian (WI),0.0771,1.0061,0.929
Drury,0.1891,1.0955,0.9064,,Cal Poly,0.0243,1.1847,1.1604,,Tex. A&M-Kingsville,-0.0033,0.9394,0.9427,,Elmhurst,0.0764,1.103,1.0266
Widener,0.188,1.0442,0.8562,,UT Arlington,0.0207,1.192,1.1713,,Morehouse,-0.0058,1.0955,1.1013,,Coe,0.0752,1.0757,1.0005
George Washington,0.1865,1.155,0.9685,,Purdue Fort Wayne,0.0205,1.135,1.1145,,Slippery Rock,-0.0061,0.9484,0.9545,,Johns Hopkins,0.0747,1.0472,0.9725
Trinity (CT),0.1841,1.0894,0.9053,,Missouri,0.0174,1.1554,1.138,,West Chester,-0.0084,1.0702,1.0786,,Moravian,0.0745,1.0589,0.9844
Milwaukee,0.1838,1.3205,1.1367,,N.C. A&T,0.0165,1.0998,1.0833,,Westmont,-0.0118,1.1834,1.1952,,Wabash,0.0741,1.2605,1.1864
Roanoke,0.1837,1.1675,0.9838,,A&M-Corpus Christi,0.0151,1.1667,1.1516,,Staten Island,-0.0129,1.0296,1.0425,,SUNY Oneonta,0.0737,1.2581,1.1844
Lipscomb,0.183,1.1708,0.9878,,Hofstra,0.0141,1.0096,0.9955,,Francis Marion,-0.0134,1.0413,1.0547,,Oglethorpe,0.0731,1.1291,1.056
