Home_Team,Away_Team,Home_ppp,Away_ppp,Division
West Virginia,Massachusetts,1.12,1.03,1.0
UNCW,Ga. Southern,1.28,1.17,1.0
Hofstra,Iona,1.22,1.0,1.0
UCF,Purdue Fort Wayne,1.06,0.96,1.0
Virginia Tech,USC Upstate,1.41,1.11,1.0
ETSU,Eastern Ky.,1.16,1.22,1.0
Rhode Island,Holy Cross,1.28,1.06,1.0
Pittsburgh,Murray St.,1.43,1.16,1.0
Bryant,Siena,1.03,1.01,1.0
Radford,William & Mary,1.39,1.2,1.0
Purdue,Northern Ky.,1.38,0.89,1.0
Akron,Ohio Wesleyan,1.69,1.1,1.0
Col. of Charleston,South Fla.,1.19,0.96,1.0
NC State,Presbyterian,1.33,1.18,1.0
Mississippi St.,Georgia St.,1.57,1.04,1.0
Nicholls,South Alabama,0.94,1.03,1.0
Belmont,Furman,1.14,1.17,1.0
Tulane,ULM,1.17,0.74,1.0
Arizona St.,Santa Clara,1.27,1.16,1.0
Buffalo,Fredonia,1.16,1.04,1.0
Maryland,Mount St. Mary's,1.42,0.69,1.0
Illinois,SIUE,1.38,0.94,1.0
Southern Ill.,Missouri S&T,1.16,0.89,1.0
Texas,Houston Christian,1.39,0.96,1.0
UIC,Yale,1.23,1.07,1.0
Missouri,Howard,1.31,1.03,1.0
Texas A&M,East Texas A&M,1.5,0.79,1.0
Texas St.,McMurry,1.35,0.81,1.0
TCU,FGCU,1.26,0.96,1.0
Alabama,Arkansas St.,1.17,1.05,1.0
Duquesne,Princeton,0.99,1.09,1.0
Navy,Harvard,1.21,1.14,1.0
Villanova,NJIT,1.68,0.92,1.0
Colorado,Northern Colo.,0.99,1.01,1.0
BYU,UC Riverside,1.19,1.11,1.0
Texas Tech,Northwestern St.,1.3,1.03,1.0
Marquette,George Mason,1.14,0.88,1.0
South Dakota St.,Long Beach St.,1.13,1.11,1.0
Pacific,San Jose St.,1.23,0.97,1.0
Colorado St.,Tennessee St.,1.07,1.18,1.0
Oregon,Montana,1.39,0.83,1.0
San Diego,Boston U.,1.23,0.91,1.0
Oregon St.,Weber St.,1.34,0.83,1.0
Fresno St.,Sacramento St.,0.96,0.85,1.0
LMU (CA),UC Irvine,0.77,1.03,1.0
Washington St.,Bradley,1.44,1.07,1.0
UCLA,New Mexico,0.88,0.99,1.0
LIU,Pratt,1.43,0.64,1.0
Louisville,Tennessee,0.77,1.2,1.0
Winthrop,Little Rock,1.15,0.89,1.0
Seton Hall,Fordham,0.9,0.92,1.0
Miami (OH),Wright St.,1.11,1.33,1.0
Dartmouth,Sacred Heart,1.19,1.12,1.0
Columbia,Delaware St.,1.15,0.8,1.0
High Point,Jackson St.,1.33,1.18,1.0
Coppin St.,Rider,0.79,0.96,1.0
Drexel,Colgate,1.24,0.95,1.0
Marshall,Toledo,1.03,1.3,1.0
St. John's (NY),Quinnipiac,1.39,1.02,1.0
Bellarmine,VMI,1.16,1.25,1.0
Mercyhurst,Houghton,1.45,0.98,1.0
Longwood,Morgan St.,1.36,0.96,1.0
Tulsa,Ark.-Pine Bluff,1.75,1.19,1.0
Minnesota,Omaha,0.99,0.93,1.0
La Salle,Lafayette,1.31,0.79,1.0
Nicholls,MUW,1.38,0.54,1.0
Kansas St.,Cleveland St.,1.2,0.87,1.0
Utah St.,Charlotte,1.76,1.15,1.0
Utah Valley,UTEP,1.13,0.84,1.0
Arizona,Old Dominion,1.49,0.59,1.0
Kentucky,Bucknell,1.38,0.89,1.0
Georgetown,Fairfield,1.17,0.97,1.0
Canisius,St. Bonaventure,1.28,1.43,1.0
East Carolina,Coastal Carolina,1.09,1.02,1.0
Lipscomb,Wofford,1.44,1.28,1.0
New Orleans,Troy,0.73,1.03,1.0
UT Arlington,Louisiana Tech,1.18,1.46,1.0
Norfolk St.,James Madison,1.19,0.99,1.0
Providence,Stonehill,1.19,0.83,1.0
UNLV,Memphis,1.07,1.16,1.0
Richmond,Marist,1.07,1.18,1.0
Portland,UC Santa Barbara,0.72,1.3,1.0
Abilene Christian,Middle Tenn.,0.84,1.37,1.0
Wichita St.,Montana St.,1.35,1.05,1.0
Rice,Florida St.,0.86,0.96,1.0
UAlbany,SUNY Oneonta,1.45,1.04,1.0
Le Moyne,SUNY Poly,1.49,0.82,1.0
Ohio,UNC Asheville,1.24,1.15,1.0
Merrimack,Vermont,1.1,0.76,1.0
Loyola Maryland,Lancaster Bible,1.31,0.42,1.0
Dayton,Northwestern,1.13,1.05,1.0
Baylor,Arkansas,1.09,1.02,1.0
Tarleton St.,Sam Houston,0.81,1.32,1.0
Chicago St.,Youngstown St.,1.0,1.31,1.0
Nebraska,Bethune-Cookman,0.86,0.79,1.0
Grand Canyon,Western Ky.,1.03,1.0,1.0
Seattle U,Liberty,1.05,1.08,1.0
California Baptist,Kennesaw St.,1.47,1.4,1.0
UConn,New Hampshire,1.25,0.74,1.0
Southern Utah,FIU,1.05,0.99,1.0
Utah Tech,New Mexico St.,0.89,1.06,1.0
Houston,Auburn,1.17,1.25,1.0
UC San Diego,Pepperdine,1.62,1.17,1.0
Nevada,Washington,0.97,0.82,1.0
San Francisco,Boise St.,1.43,1.13,1.0
Indiana,Eastern Ill.,1.32,0.86,1.0
Wisconsin,App State,1.46,0.83,1.0
Vanderbilt,Southeast Mo. St.,1.81,1.62,1.0
Detroit Mercy,Niagara,1.15,1.24,1.0
Wake Forest,Michigan,0.97,0.95,1.0
Georgia Tech,North Florida,1.19,1.54,1.0
Loyola Chicago,Eureka,1.39,0.74,1.0
Drake,SFA,1.25,0.92,1.0
UNI,UC Irvine,0.98,1.4,1.0
Robert Morris,Chatham,1.27,0.73,1.0
Miami (FL),Binghamton,1.45,0.98,1.0
Campbell,Saint Francis,1.16,1.18,1.0
Northeastern,Princeton,1.15,1.2,1.0
Brown,Maine,1.05,1.08,1.0
American,Harvard,1.19,0.87,1.0
Oklahoma St.,St. Thomas (MN),1.08,0.96,1.0
UAB,Southeastern La.,1.34,1.18,1.0
Georgia,Texas Southern,1.52,1.06,1.0
Wyoming,Tennessee St.,1.36,1.07,1.0
Gonzaga,Arizona St.,1.42,1.29,1.0
LSU,Alabama St.,1.04,0.86,1.0
Creighton,FDU,1.47,0.91,1.0
Cal Poly,Menlo,1.5,1.06,1.0
Hawaii,San Jose St.,1.51,1.3,1.0
Air Force,LIU,0.96,1.12,1.0
The Citadel,Stetson,1.02,0.73,1.0
Ohio St.,Youngstown St.,1.42,0.8,1.0
UMBC,Valley Forge,1.77,0.85,1.0
North Ala.,UT Martin,1.52,1.08,1.0
Alabama,McNeese,1.12,1.0,1.0
Furman,Jacksonville,1.12,0.84,1.0
Maryland,Florida A&M,1.53,0.73,1.0
Notre Dame,Buffalo,1.32,1.18,1.0
George Mason,Stony Brook,1.53,0.87,1.0
Florida,Grambling,1.24,0.82,1.0
Rutgers,Saint Peter's,1.25,1.08,1.0
Ga. Southern,Augusta,1.1,0.96,1.0
Marshall,Southern Ind.,1.17,0.95,1.0
Pittsburgh,Gardner-Webb,1.18,0.82,1.0
Butler,Western Mich.,1.33,1.07,1.0
Central Conn. St.,VTSU-Johnson,2.0,1.04,1.0
Virginia Tech,Winthrop,0.95,0.85,1.0
Virginia,Coppin St.,1.28,0.67,1.0
Missouri,Eastern Wash.,1.35,1.24,1.0
Tulane,Alcorn,1.48,0.71,1.0
Oklahoma,Northwestern St.,1.04,0.81,1.0
Missouri St.,Mo. Southern St.,1.1,0.84,1.0
Iowa St.,Kansas City,1.39,0.72,1.0
Texas A&M,Lamar University,1.65,1.0,1.0
Austin Peay,Chattanooga,1.08,0.98,1.0
Purdue,Yale,1.3,1.18,1.0
SMU,UNC Greensboro,1.17,0.92,1.0
Marquette,Central Mich.,1.06,0.94,1.0
DePaul,Mercer,1.5,0.78,1.0
Washington St.,Idaho,1.23,0.97,1.0
CSU Bakersfield,North Dakota St.,1.43,1.35,1.0
UCLA,Boston U.,1.13,0.58,1.0
Hawaii,Pacific,1.07,0.93,1.0
Army West Point,Mt. St. Mary (NY),1.57,0.72,1.0
Saint Joseph's,Villanova,1.11,1.01,1.0
Morgan St.,Dist. Columbia,1.04,0.73,1.0
Kansas,Michigan St.,1.07,0.96,1.0
Providence,Hampton,1.2,1.02,1.0
La Salle,Cornell,1.53,1.15,1.0
East Carolina,Mount Olive,1.41,0.84,1.0
Purdue Fort Wayne,Bethune-Cookman,1.28,1.03,1.0
